1|Érase una vez una familia de osos que vivían en una linda casita en el bosque. Papá Oso era muy grande, Mamá Osa era de tamaño mediano y Osito era pequeño.Una mañana, Mamá Osa sirvió la más deliciosa avena para el desayuno, pero como estaba demasiado caliente para comer
2|los tres osos decidieron ir de paseo por el bosque mientras se enfriaba. Al cabo de unos minutos, una niña llamada Ricitos de Oro llegó a la casa de los osos y tocó la puerta. Al no encontrar respuesta, abrió la puerta y entró en la casa sin permiso. En la cocina
3|había una mesa con tres tazas de avena: una grande, una mediana y una pequeña. Ricitos de Oro tenía un gran apetito y la avena se veía deliciosa. Primero, probó la avena de la taza grande, pero la avena estaba muy fría y no le gustó.
4|Luego, probó la avena de la taza mediana, pero la avena estaba muy caliente y tampoco le gustó. Por último, probó la avena de la taza pequeña y esta vez la avena no estaba ni fría ni caliente, ¡estaba perfecta! La avena estaba tan deliciosa que se la comió toda sin dejar ni un poquito.
5|Después de comer el desayuno de los osos, Ricitos de Oro fue a la sala. En la sala había tres sillas: una grande, una mediana y una pequeña. Primero, se sentó en la silla grande, pero la silla era muy alta y no le gustó. Luego, se sentó en la silla mediana
6|pero la silla era muy ancha y tampoco le gustó. Fue entonces que encontró la silla pequeña y se sentó en ella, pero la silla era frágil y se rompió bajo su peso. Buscando un lugar para descansar, Ricitos de Oro subió las escaleras, al final del pasillo había un cuarto con tres camas
7| una grande, una mediana y una pequeña. Primero, se subió a la cama grande, pero estaba demasiado dura y no le gustó. Después, se subió a la cama mediana, pero estaba demasiado blanda y tampoco le gustó. Entonces, se acostó en la cama pequeña
8|la cama no estaba ni demasiado dura ni demasiado blanda. De hecho, ¡se sentía perfecta! Ricitos de Oro se quedó profundamente dormida. Al poco tiempo, los tres osos regresaron del paseo por el bosque. Papá Oso notó inmediatamente que la puerta se encontraba abierta
9|Era una bochornosa tarde de agosto en la ciudad de Nueva York. Uno de esos días asfixiantes que hacen que la gente se sienta nerviosa y malhumorada. En el camino de regreso a mi hotel, tomé un autobús en la avenida Madison y, apenas subí al vehículo, me impresionó la cálida bienvenida del conductor
10|un hombre de raza negra de mediana edad en cuyo rostro se esbozaba una sonrisa entusiasta, que me obsequió con un amistoso ¡Hola! ¿Cómo está?, un saludo con el que recibía a todos los viajeros que subían al autobús mientras éste iba serpenteando por entre el denso tráfico del centro de la ciudad.
11|Pero, aunque todos los pasajeros eran recibidos con idéntica amabilidad, el sofocante clima del día parecía afectarles hasta el punto de que muy pocos le devolvían el saludo. No obstante, a medida que el autobús reptaba pesadamente a través del laberinto urbano
12|iba teniendo lugar una lenta y mágica transformación. El conductor inició, en voz alta, un diálogo consigo mismo, dirigido a todos los viajeros, en el que iba comentando generosamente las escenas que desfilaban ante nuestros ojos
13|rebajas en esos grandes almacenes, una hermosa exposición en aquel museo y qué decir de la película recién estrenada en el cine de la manzana siguiente. La evidente satisfacción que le producía hablarnos de las múltiples alternativas que ofrecía la ciudad era contagiosa
14|y cada vez que un pasajero llegaba al final de su trayecto y descendía del vehículo, parecía haberse sacudido de encima el halo de irritación con el que subiera y, cuando el conductor le despedía con un ¡Hasta la vista! ¡Que tenga un buen día! , todos respondían con una abierta sonrisa
15|El recuerdo de aquel encuentro ha permanecido conmigo durante casi veinte años. Aquel día acababa de doctorarme en psicología, pero la psicología de entonces prestaba poca o ninguna atención a la forma en que tienen lugar estas transformaciones.
